Tool,Compiler,Benchmark,Application,#nodes,#processes,avg Runtime(s)-real,avg Runtime(s)-user, avg Size(KB)
tau_exec,mpicc,hpgmg,fv3,4,64,210.05433333333335,1.1373333333333333,27884585.040039062
tau_exec,mpicc,nas,bt,1,16,93.283333333333346,0.90000000000000002,64250.33203125
tau_exec,mpicc,nas,cg,1,16,19.910333333333334,0.91066666666666674,168138.283203125
tau_exec,mpicc,nas,ep,1,16,10.913666666666666,0.89233333333333331,255.41015625
tau_exec,mpicc,nas,ft,1,16,23.836333333333332,0.90900000000000014,411.4375
tau_exec,mpicc,nas,is,1,16,5.7570000000000006,0.90900000000000014,444.05859375
tau_exec,mpicc,nas,lu,1,16,71.051000000000002,0.89900000000000002,913233.373046875
tau_exec,mpicc,nas,mg,1,16,11.375,0.90233333333333332,39032.138671875
tau_exec,mpicc,nas,sp,1,16,112.21233333333332,0.90499999999999992,111440.3056640625
tau_exec,mpicc,nas,bt,4,64,24.531333333333336,1.153,532007.615234375
tau_exec,mpicc,nas,cg,4,64,10.018333333333333,1.133,960753.099609375
tau_exec,mpicc,nas,ep,4,64,5.8016666666666667,1.1106666666666667,1020.3466796875
tau_exec,mpicc,nas,ft,4,64,11.129,1.1183333333333334,1641.982421875
tau_exec,mpicc,nas,is,4,64,5.0893333333333333,1.1276666666666666,1781.0126953125
tau_exec,mpicc,nas,lu,4,64,31.260999999999996,1.1316666666666666,4261447.2041015625
tau_exec,mpicc,nas,mg,4,64,7.2603333333333344,1.1219999999999999,153543.72265625
tau_exec,mpicc,nas,sp,4,64,24.155666666666672,1.1209999999999998,907748.240234375
